time_s,time_ms,gyro_x_deg_s,gyro_y_deg_s,gyro_z_deg_s,accel_x_g,accel_y_g,accel_z_g,X_GYRO_LWR_raw,Y_GYRO_LWR_raw,Z_GYRO_LWR_raw,X_ACCL_LWR_raw,Y_ACCL_LWR_raw,Z_ACCL_LWR_raw
0.000000,0.000000,-0.037910,-0.036844,-0.149203,0.065284,-0.949251,-0.307985,-24845,-24146,-97782,3422785,-49768078,-16147266
0.001029,1.029420,0.300189,0.165604,-0.200185,0.062115,-0.949405,-0.307178,196732,108530,-131193,3256638,-49776149,-16104964
0.002010,2.009820,0.108922,-0.187997,-0.052759,0.069205,-0.949398,-0.307683,71383,-123206,-34576,3628355,-49775789,-16131464
0.003039,3.039240,-0.230006,-0.090385,0.046907,0.066223,-0.948605,-0.306031,-150737,-59235,30741,3471970,-49734217,-16044825
0.004020,4.019640,-0.037502,-0.137086,-0.149197,0.064715,-0.948046,-0.309520,-24577,-89841,-97778,3392938,-49704934,-16227783
0.005000,5.000040,-0.085400,0.110655,0.045924,0.064316,-0.947104,-0.307890,-55968,72519,30097,3372025,-49655532,-16142303
0.006029,6.029460,-0.035323,0.008582,0.191716,0.067782,-0.945452,-0.307763,-23149,5624,125643,3553736,-49568925,-16135663
0.007010,7.009860,-0.035129,0.058032,0.240416,0.064709,-0.946502,-0.305149,-23022,38032,157559,3392616,-49623942,-15998619
0.008039,8.039280,0.155566,0.163708,-0.101807,0.067972,-0.948160,-0.308830,101952,107288,-66720,3563673,-49710914,-16191577
0.009020,9.019680,0.013354,-0.041354,0.191396,0.066041,-0.949468,-0.305342,8752,-27102,125433,3462449,-49779446,-16008698
0.010000,10.000080,-0.085614,0.260350,0.094620,0.064998,-0.951096,-0.307469,-56108,170623,62010,3407745,-49864837,-16120218
0.011030,11.029500,-0.180121,-0.241907,0.143999,0.063951,-0.949984,-0.311494,-118044,-158536,94371,3352896,-49806545,-16331266
0.012010,12.009900,-0.230812,0.010529,-0.001801,0.068535,-0.951398,-0.305071,-151265,6900,-1180,3593231,-49880663,-15994522
0.013039,13.039320,-0.135071,0.112482,-0.099861,0.068188,-0.952034,-0.306151,-88520,73716,-65445,3574999,-49913993,-16051124
0.014020,14.019720,0.059825,0.061755,-0.003746,0.067782,-0.948196,-0.307126,39207,40472,-2455,3553717,-49712801,-16102264
0.015000,15.000120,-0.083601,0.057849,0.240739,0.066970,-0.951137,-0.303456,-54789,37912,157771,3511162,-49866989,-15909859
0.016030,16.029540,-0.086607,0.212239,-0.051488,0.065555,-0.948615,-0.306475,-56759,139093,-33743,3436968,-49734746,-16068120
0.017010,17.009940,-0.181738,-0.039821,0.046581,0.064611,-0.949267,-0.310090,-119104,-26097,30527,3387490,-49768918,-16257665
0.018039,18.039360,0.011972,-0.188109,-0.052110,0.066005,-0.950380,-0.307684,7846,-123279,-34151,3460555,-49827268,-16131516
0.019020,19.019760,-0.182515,-0.237627,-0.148178,0.065582,-0.944730,-0.306577,-119613,-155731,-97110,3438378,-49531084,-16073445
0.020049,20.049180,0.059824,0.062012,-0.003661,0.065691,-0.944301,-0.307524,39206,40640,-2399,3444087,-49508548,-16123090
0.021030,21.029580,-0.181755,0.159323,0.144061,0.069933,-0.951274,-0.308031,-119115,104414,94412,3666529,-49874178,-16149701
0.022010,22.009980,0.010767,-0.086525,-0.149438,0.065903,-0.948894,-0.308973,7056,-56705,-97936,3455209,-49749379,-16199095
0.023039,23.039400,-0.375621,-0.140134,-0.000735,0.066211,-0.950843,-0.306231,-246167,-91838,-482,3471388,-49851574,-16055305
0.024020,24.019800,-0.086179,-0.086894,-0.148790,0.064924,-0.951848,-0.308785,-56478,-56947,-97511,3403885,-49904246,-16189251
0.025049,25.049220,0.061440,-0.139816,0.093756,0.061479,-0.948627,-0.306863,40265,-91630,61444,3223285,-49735367,-16088485
0.026030,26.029620,0.011360,-0.037746,-0.052034,0.066126,-0.945166,-0.310025,7445,-24737,-34101,3466882,-49553931,-16254242
0.027010,27.010020,0.156976,0.012257,-0.004306,0.066782,-0.950258,-0.309422,102876,8033,-2822,3501290,-49820865,-16222633
0.028039,28.039440,-0.036928,0.111095,0.045686,0.063205,-0.947968,-0.303792,-24201,72807,29941,3313739,-49700805,-15927453
0.029020,29.019840,-0.132649,-0.190004,0.046350,0.063295,-0.946563,-0.306619,-86933,-124521,30376,3318462,-49627171,-16075662
0.030049,30.049260,-0.280678,-0.036839,-0.196201,0.064590,-0.947141,-0.308122,-183945,-24143,-128582,3386393,-49657457,-16154442
0.031030,31.029660,-0.132289,0.207617,0.289844,0.063544,-0.947262,-0.305164,-86697,136064,189952,3331513,-49663791,-15999376
0.032010,32.010060,-0.278879,-0.089642,-0.001385,0.066824,-0.949697,-0.306087,-182766,-58748,-908,3503526,-49791452,-16047756
0.033039,33.039480,-0.231815,0.062248,-0.099124,0.067620,-0.947249,-0.304503,-151922,40795,-64962,3545251,-49663107,-15964732
0.034020,34.019880,-0.084575,-0.189149,-0.002675,0.066835,-0.950044,-0.304312,-55427,-123961,-1753,3504063,-49809656,-15954698
0.035049,35.049300,0.058823,0.113475,-0.101070,0.064187,-0.946283,-0.308191,38550,74367,-66237,3365253,-49612466,-16158079
0.036030,36.029700,0.158397,-0.239021,0.044411,0.067545,-0.950269,-0.303791,103807,-156645,29105,3541281,-49821451,-15927419
0.037010,37.010100,-0.134470,0.061946,-0.051070,0.064848,-0.945803,-0.307859,-88126,40597,-33469,3399900,-49587293,-16140652
0.038040,38.039520,0.061642,-0.189938,0.093759,0.063906,-0.951343,-0.306482,40398,-124478,61446,3350524,-49877753,-16068476
0.039020,39.019920,-0.183340,0.062431,-0.099448,0.063560,-0.952573,-0.309350,-120154,40915,-65174,3332397,-49942253,-16218849
0.040049,40.049340,0.011731,0.260303,0.142760,0.065066,-0.949912,-0.305662,7688,170592,93559,3411353,-49802765,-16025498
0.041030,41.029740,-0.133681,0.160178,0.095033,0.066919,-0.948288,-0.307762,-87609,104974,62281,3508484,-49717584,-16135584
0.042010,42.010140,-0.135461,0.013835,-0.197176,0.066391,-0.944457,-0.310320,-88776,9067,-129221,3480777,-49516745,-16269724
0.043040,43.039560,0.012354,0.010364,0.094070,0.065727,-0.952335,-0.305060,8096,6792,61650,3445984,-49929793,-15993927
0.044020,44.019960,0.108307,-0.037378,-0.052681,0.067939,-0.950659,-0.304827,70980,-24496,-34525,3561962,-49841918,-15981728
0.045049,45.049380,-0.327370,0.108774,0.096332,0.063288,-0.949035,-0.306773,-214545,71286,63132,3318126,-49756781,-16083762
0.046030,46.029780,-0.083200,0.056891,0.289529,0.069385,-0.951520,-0.309339,-54526,37284,189746,3637795,-49887031,-16218274
0.047010,47.010180,0.012578,-0.239447,-0.003407,0.063961,-0.949417,-0.306102,8243,-156924,-2233,3353422,-49776805,-16048557
0.048040,48.039600,-0.037910,-0.037131,-0.149292,0.064612,-0.951214,-0.305807,-24845,-24334,-97840,3387525,-49871009,-16033105
0.049020,49.020000,0.158748,0.257631,0.336426,0.062336,-0.954069,-0.306339,104037,168841,220480,3268196,-50020699,-16060977
0.050049,50.049420,-0.083006,0.056894,0.289352,0.064706,-0.950441,-0.309830,-54399,37286,189630,3392478,-49830499,-16244008
0.051030,51.029820,-0.179362,0.055856,0.338702,0.064716,-0.950869,-0.308729,-117547,36606,221972,3392957,-49852935,-16186266
0.052010,52.010220,-0.085616,0.161162,-0.002873,0.067400,-0.952406,-0.308733,-56109,105619,-1883,3533694,-49933504,-16186479
0.053040,53.039640,0.011758,-0.137859,-0.100909,0.064289,-0.954250,-0.308820,7706,-90347,-66132,3370610,-50030161,-16191066
0.054020,54.020040,-0.181949,0.010428,-0.002216,0.060382,-0.951941,-0.308299,-119242,6834,-1452,3165750,-49909141,-16163742
0.055049,55.049460,-0.085986,-0.136887,-0.197668,0.065099,-0.946698,-0.306648,-56352,-89710,-129544,3413064,-49634225,-16077191
0.056030,56.029860,-0.278508,0.108961,0.095831,0.062460,-0.948694,-0.307447,-182523,71409,62804,3274693,-49738862,-16119052
0.057010,57.010260,-0.037326,0.012321,-0.100594,0.065004,-0.951488,-0.307668,-24462,8075,-65925,3408056,-49885375,-16130645
0.058040,58.039680,-0.036101,-0.288409,-0.100577,0.065030,-0.950745,-0.308606,-23659,-189012,-65914,3409443,-49846430,-16179836
0.059020,59.020080,-0.132874,-0.040179,0.046165,0.065774,-0.947595,-0.308080,-87080,-26332,30255,3448455,-49681272,-16152288
0.060049,60.049500,-0.035934,0.059763,0.094215,0.063414,-0.949900,-0.308084,-23550,39166,61745,3324732,-49802119,-16152465
0.061030,61.029900,-0.035341,0.108542,0.191618,0.063683,-0.949266,-0.307312,-23161,71134,125579,3338807,-49768894,-16112025
0.062010,62.010300,-0.180743,-0.091156,0.095195,0.067155,-0.949318,-0.312232,-118452,-59740,62387,3520834,-49771624,-16369939
0.063040,63.039720,0.011972,-0.287555,-0.149605,0.064127,-0.950440,-0.307799,7846,-188452,-98045,3362110,-49830429,-16137532
0.064020,64.020120,-0.182135,-0.138596,-0.099614,0.066069,-0.946537,-0.309114,-119364,-90830,-65283,3463919,-49625779,-16206450
0.065050,65.049540,-0.085002,0.010796,-0.002864,0.066536,-0.949476,-0.309786,-55707,7075,-1877,3488417,-49779898,-16241702
0.066030,66.029940,0.063425,-0.143039,0.288393,0.067794,-0.946633,-0.309103,41566,-93742,189001,3554370,-49630838,-16205907
0.067010,67.010340,0.012743,0.009824,0.093895,0.066008,-0.947951,-0.309411,8351,6438,61535,3460732,-49699935,-16222064
0.068040,68.039760,-0.035341,0.108542,0.191618,0.068319,-0.950786,-0.309122,-23161,71134,125579,3581868,-49848584,-16206921
0.069020,69.020160,-0.132901,0.258540,0.192258,0.068446,-0.948986,-0.311082,-87098,169437,125998,3588520,-49754201,-16309651
0.070050,70.049580,0.010524,0.262444,-0.052229,0.066940,-0.946318,-0.305522,6897,171995,-34229,3509569,-49614304,-16018175
0.071030,71.029980,0.203447,0.015924,-0.297026,0.064590,-0.949487,-0.305861,133331,10436,-194659,3386358,-49780483,-16035943
0.072010,72.010380,-0.135286,0.162988,-0.148659,0.065975,-0.952994,-0.303411,-88661,106816,-97425,3458995,-49964348,-15907472
