time_s,time_ms,gyro_x_deg_s,gyro_y_deg_s,gyro_z_deg_s,accel_x_g,accel_y_g,accel_z_g,GX_raw,GY_raw,GZ_raw,AX_raw,AY_raw,AZ_raw
0.000000,0.000000,-0.139846,-0.071354,-0.033918,-0.040139,0.951779,0.298063,-0.139846,-0.071354,-0.033918,-0.040139,0.951779,0.298063
0.001000,1.000000,-0.199127,-0.118560,-0.074477,-0.039899,0.952104,0.298068,-0.199127,-0.118560,-0.074477,-0.039899,0.952104,0.298068
0.002000,2.000000,-0.185794,-0.143092,-0.064623,-0.039747,0.952087,0.298254,-0.185794,-0.143092,-0.064623,-0.039747,0.952087,0.298254
0.003000,3.000000,0.017338,-0.015724,0.002439,-0.039988,0.951996,0.298856,0.017338,-0.015724,0.002439,-0.039988,0.951996,0.298856
0.004000,4.000000,0.098701,-0.017362,0.018628,-0.039580,0.952343,0.299087,0.098701,-0.017362,0.018628,-0.039580,0.952343,0.299087
0.005000,5.000000,0.097973,-0.038156,-0.023486,-0.039016,0.952514,0.298862,0.097973,-0.038156,-0.023486,-0.039016,0.952514,0.298862
0.006000,6.000000,0.004727,0.023534,-0.046306,-0.039067,0.952095,0.298994,0.004727,0.023534,-0.046306,-0.039067,0.952095,0.298994
0.007000,7.000000,-0.090666,-0.028791,-0.018451,-0.039631,0.952181,0.299218,-0.090666,-0.028791,-0.018451,-0.039631,0.952181,0.299218
0.008000,8.000000,-0.213812,-0.021730,-0.004632,-0.039485,0.952755,0.299082,-0.213812,-0.021730,-0.004632,-0.039485,0.952755,0.299082
0.009000,9.000000,-0.242563,-0.012840,-0.007573,-0.039078,0.953083,0.299416,-0.242563,-0.012840,-0.007573,-0.039078,0.953083,0.299416
0.010000,10.000000,-0.096847,0.036072,0.003762,-0.038891,0.953533,0.299215,-0.096847,0.036072,0.003762,-0.038891,0.953533,0.299215
0.011000,11.000000,0.150497,0.047826,0.031698,-0.039220,0.953459,0.299450,0.150497,0.047826,0.031698,-0.039220,0.953459,0.299450
0.012000,12.000000,0.103934,0.058093,0.046032,-0.039482,0.953354,0.300156,0.103934,0.058093,0.046032,-0.039482,0.953354,0.300156
0.013000,13.000000,-0.073328,0.000434,0.030669,-0.039540,0.953421,0.300420,-0.073328,0.000434,0.030669,-0.039540,0.953421,0.300420
0.014000,14.000000,-0.069291,-0.013572,0.039949,-0.039095,0.953065,0.300019,-0.069291,-0.013572,0.039949,-0.039095,0.953065,0.300019
0.015000,15.000000,-0.015192,-0.030536,0.015386,-0.039264,0.952978,0.299830,-0.015192,-0.030536,0.015386,-0.039264,0.952978,0.299830
0.016000,16.000000,-0.109479,-0.068351,0.003227,-0.039119,0.953140,0.299967,-0.109479,-0.068351,0.003227,-0.039119,0.953140,0.299967
0.017000,17.000000,-0.098851,-0.064241,-0.006801,-0.038803,0.953454,0.300183,-0.098851,-0.064241,-0.006801,-0.038803,0.953454,0.300183
0.018000,18.000000,-0.036562,-0.129481,-0.002856,-0.039100,0.953808,0.300515,-0.036562,-0.129481,-0.002856,-0.039100,0.953808,0.300515
0.019000,19.000000,-0.075053,-0.130757,0.078191,-0.039082,0.954264,0.299760,-0.075053,-0.130757,0.078191,-0.039082,0.954264,0.299760
0.020000,20.000000,-0.110430,-0.057813,0.091150,-0.039174,0.954186,0.299022,-0.110430,-0.057813,0.091150,-0.039174,0.954186,0.299022
0.021000,21.000000,-0.165117,0.005620,0.015039,-0.039286,0.953891,0.299585,-0.165117,0.005620,0.015039,-0.039286,0.953891,0.299585
0.022000,22.000000,-0.123299,-0.013092,-0.023269,-0.039029,0.953444,0.300092,-0.123299,-0.013092,-0.023269,-0.039029,0.953444,0.300092
0.023000,23.000000,-0.093165,0.027887,-0.012810,-0.038873,0.953429,0.299937,-0.093165,0.027887,-0.012810,-0.038873,0.953429,0.299937
0.024000,24.000000,-0.011945,0.031029,0.035485,-0.038931,0.953335,0.299993,-0.011945,0.031029,0.035485,-0.038931,0.953335,0.299993
0.025000,25.000000,0.081161,0.058203,0.059966,-0.039036,0.953500,0.300469,0.081161,0.058203,0.059966,-0.039036,0.953500,0.300469
0.026000,26.000000,0.029652,0.025104,0.052876,-0.039154,0.953543,0.300582,0.029652,0.025104,0.052876,-0.039154,0.953543,0.300582
0.027000,27.000000,0.035998,0.063636,0.024542,-0.039091,0.953738,0.300700,0.035998,0.063636,0.024542,-0.039091,0.953738,0.300700
0.028000,28.000000,-0.096381,0.040902,0.005241,-0.039169,0.953409,0.300919,-0.096381,0.040902,0.005241,-0.039169,0.953409,0.300919
0.029000,29.000000,-0.241948,-0.057619,-0.012217,-0.039467,0.952686,0.300699,-0.241948,-0.057619,-0.012217,-0.039467,0.952686,0.300699
0.030000,30.000000,-0.123893,-0.062439,-0.063922,-0.038982,0.952329,0.300457,-0.123893,-0.062439,-0.063922,-0.038982,0.952329,0.300457
0.031000,31.000000,-0.208153,-0.089051,-0.075434,-0.038686,0.952238,0.299749,-0.208153,-0.089051,-0.075434,-0.038686,0.952238,0.299749
0.032000,32.000000,-0.241938,-0.115774,-0.012012,-0.038152,0.952216,0.299109,-0.241938,-0.115774,-0.012012,-0.038152,0.952216,0.299109
0.033000,33.000000,-0.183811,-0.121676,0.022908,-0.038113,0.951746,0.298956,-0.183811,-0.121676,0.022908,-0.038113,0.951746,0.298956
0.034000,34.000000,-0.049794,-0.089802,0.057301,-0.038383,0.951080,0.299107,-0.049794,-0.089802,0.057301,-0.038383,0.951080,0.299107
0.035000,35.000000,-0.002636,-0.029067,0.052335,-0.038823,0.950457,0.299427,-0.002636,-0.029067,0.052335,-0.038823,0.950457,0.299427
0.036000,36.000000,0.022424,-0.048346,0.044439,-0.038554,0.950119,0.299412,0.022424,-0.048346,0.044439,-0.038554,0.950119,0.299412
0.037000,37.000000,0.062294,-0.053778,0.029288,-0.038304,0.950405,0.298943,0.062294,-0.053778,0.029288,-0.038304,0.950405,0.298943
0.038000,38.000000,0.078493,0.017810,-0.001018,-0.037964,0.951400,0.298823,0.078493,0.017810,-0.001018,-0.037964,0.951400,0.298823
0.039000,39.000000,0.081829,0.001828,0.044221,-0.037877,0.952014,0.299627,0.081829,0.001828,0.044221,-0.037877,0.952014,0.299627
0.040000,40.000000,0.008861,-0.021785,0.035770,-0.038137,0.951884,0.299824,0.008861,-0.021785,0.035770,-0.038137,0.951884,0.299824
0.041000,41.000000,0.010709,0.019380,0.020377,-0.038294,0.951756,0.299595,0.010709,0.019380,0.020377,-0.038294,0.951756,0.299595
0.042000,42.000000,0.057158,-0.010138,-0.003618,-0.038424,0.952189,0.299818,0.057158,-0.010138,-0.003618,-0.038424,0.952189,0.299818
0.043000,43.000000,0.122082,-0.031566,-0.029616,-0.038177,0.952663,0.299867,0.122082,-0.031566,-0.029616,-0.038177,0.952663,0.299867
0.044000,44.000000,-0.014384,-0.069147,0.011857,-0.037747,0.953241,0.299875,-0.014384,-0.069147,0.011857,-0.037747,0.953241,0.299875
0.045000,45.000000,0.019065,-0.091803,0.034641,-0.037269,0.953561,0.300243,0.019065,-0.091803,0.034641,-0.037269,0.953561,0.300243
0.046000,46.000000,-0.066721,-0.156835,-0.005426,-0.037614,0.953916,0.300336,-0.066721,-0.156835,-0.005426,-0.037614,0.953916,0.300336
0.047000,47.000000,0.012685,-0.119622,-0.015998,-0.038158,0.954009,0.300638,0.012685,-0.119622,-0.015998,-0.038158,0.954009,0.300638
0.048000,48.000000,0.070587,-0.076535,-0.019019,-0.038014,0.954032,0.300616,0.070587,-0.076535,-0.019019,-0.038014,0.954032,0.300616
0.049000,49.000000,0.051015,-0.079075,-0.019586,-0.037797,0.953855,0.300238,0.051015,-0.079075,-0.019586,-0.037797,0.953855,0.300238
0.050000,50.000000,-0.007758,-0.026545,-0.072349,-0.037834,0.953532,0.299965,-0.007758,-0.026545,-0.072349,-0.037834,0.953532,0.299965
0.051000,51.000000,-0.147954,-0.040081,-0.037807,-0.038121,0.952992,0.300183,-0.147954,-0.040081,-0.037807,-0.038121,0.952992,0.300183
0.052000,52.000000,-0.155056,-0.057652,-0.036412,-0.038378,0.952678,0.300606,-0.155056,-0.057652,-0.036412,-0.038378,0.952678,0.300606
0.053000,53.000000,-0.242986,-0.047985,-0.022183,-0.038540,0.951956,0.300246,-0.242986,-0.047985,-0.022183,-0.038540,0.951956,0.300246
0.054000,54.000000,-0.290281,-0.038926,-0.005223,-0.038670,0.951964,0.299698,-0.290281,-0.038926,-0.005223,-0.038670,0.951964,0.299698
0.055000,55.000000,-0.015474,0.049435,-0.003166,-0.038510,0.952893,0.300210,-0.015474,0.049435,-0.003166,-0.038510,0.952893,0.300210
0.056000,56.000000,0.103814,0.050794,-0.022716,-0.037917,0.953670,0.299769,0.103814,0.050794,-0.022716,-0.037917,0.953670,0.299769
0.057000,57.000000,0.068214,0.064736,-0.033177,-0.037681,0.954221,0.299660,0.068214,0.064736,-0.033177,-0.037681,0.954221,0.299660
0.058000,58.000000,-0.040936,0.074497,-0.015278,-0.037714,0.954264,0.300098,-0.040936,0.074497,-0.015278,-0.037714,0.954264,0.300098
0.059000,59.000000,-0.067698,0.136054,0.015093,-0.038186,0.954000,0.300486,-0.067698,0.136054,0.015093,-0.038186,0.954000,0.300486
0.060000,60.000000,-0.035168,0.058072,0.022072,-0.038578,0.953753,0.300585,-0.035168,0.058072,0.022072,-0.038578,0.953753,0.300585
0.061000,61.000000,0.031542,0.020242,0.003629,-0.038851,0.953971,0.301260,0.031542,0.020242,0.003629,-0.038851,0.953971,0.301260
0.062000,62.000000,0.000633,-0.008985,-0.007288,-0.039204,0.953841,0.300498,0.000633,-0.008985,-0.007288,-0.039204,0.953841,0.300498
0.063000,63.000000,-0.033137,-0.069470,-0.022727,-0.039476,0.953437,0.300316,-0.033137,-0.069470,-0.022727,-0.039476,0.953437,0.300316
0.064000,64.000000,-0.106797,-0.043882,-0.018931,-0.039167,0.952508,0.300736,-0.106797,-0.043882,-0.018931,-0.039167,0.952508,0.300736
0.065000,65.000000,-0.071113,-0.124741,0.001352,-0.038534,0.952553,0.300277,-0.071113,-0.124741,0.001352,-0.038534,0.952553,0.300277
0.066000,66.000000,0.017860,-0.117240,0.018768,-0.038473,0.952843,0.299980,0.017860,-0.117240,0.018768,-0.038473,0.952843,0.299980
0.067000,67.000000,-0.059231,-0.035802,0.003716,-0.038649,0.952828,0.299815,-0.059231,-0.035802,0.003716,-0.038649,0.952828,0.299815
0.068000,68.000000,-0.032318,0.030232,-0.020209,-0.038325,0.952179,0.300051,-0.032318,0.030232,-0.020209,-0.038325,0.952179,0.300051
