time_s,time_ms,gyro_x_deg_s,gyro_y_deg_s,gyro_z_deg_s,accel_x_g,accel_y_g,accel_z_g,GX_raw,GY_raw,GZ_raw,AX_raw,AY_raw,AZ_raw
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,1.000000,-0.300000,-0.100000,0.000000,0.048000,-0.602000,0.798000,-0.300000,-0.100000,0.000000,0.048000,-0.602000,0.798000
0.002000,2.000000,0.000000,0.100000,0.000000,0.048000,-0.598000,0.806000,0.000000,0.100000,0.000000,0.048000,-0.598000,0.806000
0.003000,3.000000,0.400000,0.100000,-0.300000,0.046000,-0.594000,0.798000,0.400000,0.100000,-0.300000,0.046000,-0.594000,0.798000
0.004000,4.000000,0.100000,-0.100000,0.300000,0.046000,-0.592000,0.802000,0.100000,-0.100000,0.300000,0.046000,-0.592000,0.802000
0.005000,5.000000,-0.300000,0.100000,-0.200000,0.044000,-0.594000,0.804000,-0.300000,0.100000,-0.200000,0.044000,-0.594000,0.804000
0.006000,6.000000,0.000000,0.100000,0.000000,0.046000,-0.596000,0.800000,0.000000,0.100000,0.000000,0.046000,-0.596000,0.800000
0.007000,7.000000,0.000000,0.000000,0.000000,0.046000,-0.594000,0.802000,0.000000,0.000000,0.000000,0.046000,-0.594000,0.802000
0.008000,8.000000,-0.100000,0.000000,0.000000,0.046000,-0.594000,0.802000,-0.100000,0.000000,0.000000,0.046000,-0.594000,0.802000
0.009000,9.000000,0.000000,0.000000,0.000000,0.046000,-0.596000,0.800000,0.000000,0.000000,0.000000,0.046000,-0.596000,0.800000
0.010000,10.000000,0.100000,0.000000,0.000000,0.046000,-0.596000,0.800000,0.100000,0.000000,0.000000,0.046000,-0.596000,0.800000
0.011000,11.000000,0.300000,-0.100000,0.000000,0.046000,-0.596000,0.802000,0.300000,-0.100000,0.000000,0.046000,-0.596000,0.802000
0.012000,12.000000,0.200000,-0.100000,0.000000,0.046000,-0.596000,0.802000,0.200000,-0.100000,0.000000,0.046000,-0.596000,0.802000
0.013000,13.000000,0.100000,-0.100000,-0.100000,0.046000,-0.596000,0.802000,0.100000,-0.100000,-0.100000,0.046000,-0.596000,0.802000
0.014000,14.000000,0.100000,-0.100000,-0.100000,0.044000,-0.594000,0.802000,0.100000,-0.100000,-0.100000,0.044000,-0.594000,0.802000
0.015000,15.000000,0.100000,-0.100000,0.000000,0.044000,-0.596000,0.802000,0.100000,-0.100000,0.000000,0.044000,-0.596000,0.802000
0.016000,16.000000,0.000000,0.000000,0.000000,0.044000,-0.596000,0.802000,0.000000,0.000000,0.000000,0.044000,-0.596000,0.802000
0.017000,17.000000,0.000000,0.000000,0.100000,0.044000,-0.596000,0.802000,0.000000,0.000000,0.100000,0.044000,-0.596000,0.802000
0.018000,18.000000,0.000000,0.000000,0.100000,0.044000,-0.598000,0.802000,0.000000,0.000000,0.100000,0.044000,-0.598000,0.802000
0.019000,19.000000,0.000000,0.000000,0.000000,0.046000,-0.598000,0.802000,0.000000,0.000000,0.000000,0.046000,-0.598000,0.802000
0.020000,20.000000,0.000000,0.100000,0.000000,0.046000,-0.598000,0.802000,0.000000,0.100000,0.000000,0.046000,-0.598000,0.802000
0.021000,21.000000,0.000000,0.100000,0.000000,0.044000,-0.598000,0.802000,0.000000,0.100000,0.000000,0.044000,-0.598000,0.802000
0.022000,22.000000,0.100000,0.000000,0.100000,0.044000,-0.596000,0.800000,0.100000,0.000000,0.100000,0.044000,-0.596000,0.800000
0.023000,23.000000,0.100000,0.000000,0.200000,0.044000,-0.598000,0.802000,0.100000,0.000000,0.200000,0.044000,-0.598000,0.802000
0.024000,24.000000,0.000000,0.100000,0.200000,0.046000,-0.596000,0.802000,0.000000,0.100000,0.200000,0.046000,-0.596000,0.802000
0.025000,25.000000,-0.100000,0.100000,0.100000,0.046000,-0.596000,0.802000,-0.100000,0.100000,0.100000,0.046000,-0.596000,0.802000
0.026000,26.000000,-0.100000,0.000000,0.000000,0.046000,-0.594000,0.802000,-0.100000,0.000000,0.000000,0.046000,-0.594000,0.802000
0.027000,27.000000,0.000000,0.000000,-0.100000,0.046000,-0.594000,0.800000,0.000000,0.000000,-0.100000,0.046000,-0.594000,0.800000
0.028000,28.000000,0.100000,-0.100000,-0.100000,0.046000,-0.594000,0.798000,0.100000,-0.100000,-0.100000,0.046000,-0.594000,0.798000
0.029000,29.000000,0.100000,-0.100000,-0.100000,0.046000,-0.596000,0.798000,0.100000,-0.100000,-0.100000,0.046000,-0.596000,0.798000
0.030000,30.000000,0.000000,-0.100000,0.000000,0.046000,-0.596000,0.800000,0.000000,-0.100000,0.000000,0.046000,-0.596000,0.800000
0.031000,31.000000,0.000000,-0.100000,0.000000,0.046000,-0.596000,0.802000,0.000000,-0.100000,0.000000,0.046000,-0.596000,0.802000
0.032000,32.000000,-0.100000,-0.100000,0.000000,0.048000,-0.596000,0.804000,-0.100000,-0.100000,0.000000,0.048000,-0.596000,0.804000
0.033000,33.000000,0.000000,-0.100000,0.100000,0.048000,-0.596000,0.804000,0.000000,-0.100000,0.100000,0.048000,-0.596000,0.804000
0.034000,34.000000,0.100000,-0.100000,0.100000,0.046000,-0.596000,0.802000,0.100000,-0.100000,0.100000,0.046000,-0.596000,0.802000
0.035000,35.000000,0.000000,0.000000,0.000000,0.044000,-0.596000,0.802000,0.000000,0.000000,0.000000,0.044000,-0.596000,0.802000
0.036000,36.000000,-0.100000,0.000000,-0.100000,0.044000,-0.596000,0.802000,-0.100000,0.000000,-0.100000,0.044000,-0.596000,0.802000
0.037000,37.000000,0.000000,0.000000,-0.100000,0.044000,-0.596000,0.802000,0.000000,0.000000,-0.100000,0.044000,-0.596000,0.802000
0.038000,38.000000,0.200000,0.000000,0.000000,0.044000,-0.596000,0.802000,0.200000,0.000000,0.000000,0.044000,-0.596000,0.802000
0.039000,39.000000,0.200000,0.000000,0.100000,0.046000,-0.596000,0.802000,0.200000,0.000000,0.100000,0.046000,-0.596000,0.802000
0.040000,40.000000,0.100000,0.000000,0.100000,0.046000,-0.596000,0.802000,0.100000,0.000000,0.100000,0.046000,-0.596000,0.802000
0.041000,41.000000,-0.100000,0.000000,0.100000,0.046000,-0.598000,0.800000,-0.100000,0.000000,0.100000,0.046000,-0.598000,0.800000
0.042000,42.000000,-0.100000,0.000000,0.100000,0.046000,-0.598000,0.800000,-0.100000,0.000000,0.100000,0.046000,-0.598000,0.800000
0.043000,43.000000,0.000000,-0.100000,0.000000,0.044000,-0.598000,0.798000,0.000000,-0.100000,0.000000,0.044000,-0.598000,0.798000
0.044000,44.000000,0.000000,-0.100000,-0.200000,0.044000,-0.598000,0.800000,0.000000,-0.100000,-0.200000,0.044000,-0.598000,0.800000
0.045000,45.000000,0.000000,0.000000,-0.200000,0.046000,-0.598000,0.800000,0.000000,0.000000,-0.200000,0.046000,-0.598000,0.800000
0.046000,46.000000,0.000000,0.100000,0.000000,0.046000,-0.596000,0.800000,0.000000,0.100000,0.000000,0.046000,-0.596000,0.800000
