X_GYRO_LWR,Y_GYRO_LWR,Z_GYRO_LWR,X_ACCL_LWR,Y_ACCL_LWR,Z_ACCL_LWR,DATA_CNTR,TIME_STAMP_LWR,USB_TIMESTAMP_MS
-116281,-26943,-128094,3766799,-49516942,-17222395,11341,3692,20.7853
75889,36401,94052,3752046,-49338243,-17261372,11342,3713,21.7855
75896,-28854,62138,3659768,-49357996,-17293390,11343,3733,21.7855
233170,-25615,-130427,4058439,-49567565,-17449241,11344,3753,21.7855
-84385,5586,-96391,4120838,-49582659,-17268632,11345,3774,21.7855
-81900,-31215,190869,3937367,-49379245,-17285588,11346,3794,21.7855
75367,37279,30217,3853613,-49417343,-17297080,11347,3815,21.7855
-83206,-29018,31281,4042678,-49254382,-17243880,11348,3835,21.7855
139184,-158685,-34030,3947309,-49221039,-17382974,11349,3855,21.7855
12339,166673,158303,4035243,-49278672,-17107424,11350,3876,21.7855
-116287,37873,-64262,3821510,-49266852,-17094190,11351,3896,21.7855
-84780,37992,-64472,4151558,-49259253,-17266016,11352,3917,21.7855
136933,137821,-97880,3994545,-49155804,-17126649,11353,3937,21.7855
43082,-28099,-1480,4008743,-49343435,-17307608,11354,3957,21.7855
11689,134262,126392,4089653,-49254065,-17332714,11355,3978,21.7855
45434,-32052,285778,4169347,-49555756,-17410869,11356,3998,21.7855
136933,137821,-97880,4008358,-49448049,-17213290,11357,4019,21.7855
107664,-29615,125765,3952660,-49594916,-17238614,11358,4039,38.5713
75232,69247,94054,3823684,-49633609,-17262861,11359,4059,38.5713
-20058,-61627,30863,3795648,-49403937,-17382057,11360,4080,38.5713
-83856,-61429,-630,3952177,-49366098,-17096356,11361,4100,38.5713
234736,-29130,124800,3972068,-49441543,-16966678,11362,4121,38.5713
202311,4475,61174,4086422,-49324104,-17337447,11363,4141,38.5713
72096,74520,-289074,3833885,-49364668,-17468661,11364,4161,38.5713
138111,103217,29675,3996767,-49220258,-17328708,11365,4182,38.5713
-50534,66217,254374,4176040,-49402955,-17263788,11366,4202,38.5713
42024,103819,-65441,3969015,-49305044,-17369528,11367,4223,38.5713
10906,135229,30522,4035803,-49371920,-17311986,11368,4243,38.5713
-53949,267696,-64815,3786882,-49358736,-17377767,11369,4263,38.5713
105044,39683,-161614,4045686,-49197090,-17359148,11370,4284,38.5713
-83206,-30250,95003,3894313,-49221260,-17263070,11371,4304,38.5713
-146749,34764,127341,4035875,-49321793,-17085016,11372,4325,38.5713
43993,2641,126070,3811645,-49335367,-17246407,11373,4345,38.5713
11180,4277,-1388,4031513,-49332539,-17207545,11374,4365,38.5713
11830,35807,94363,4016967,-49460039,-17138992,11375,4386,54.7756
