X_GYRO_LWR,Y_GYRO_LWR,Z_GYRO_LWR,X_ACCL_LWR,Y_ACCL_LWR,Z_ACCL_LWR,DATA_CNTR,TIME_STAMP_LWR,USB_TIMESTAMP_MS
-24845,-24146,-97782,3422785,-49768078,-16147266,41840,17952,20.5723
196732,108530,-131193,3256638,-49776149,-16104964,41841,17973,20.5723
71383,-123206,-34576,3628355,-49775789,-16131464,41842,17993,20.5723
-150737,-59235,30741,3471970,-49734217,-16044825,41843,18014,20.5723
-24577,-89841,-97778,3392938,-49704934,-16227783,41844,18034,20.5723
-55968,72519,30097,3372025,-49655532,-16142303,41845,18054,20.5723
-23149,5624,125643,3553736,-49568925,-16135663,41846,18075,20.5723
-23022,38032,157559,3392616,-49623942,-15998619,41847,18095,20.5723
101952,107288,-66720,3563673,-49710914,-16191577,41848,18116,20.5723
8752,-27102,125433,3462449,-49779446,-16008698,41849,18136,20.5723
-56108,170623,62010,3407745,-49864837,-16120218,41850,18156,20.5723
-118044,-158536,94371,3352896,-49806545,-16331266,41851,18177,20.5723
-151265,6900,-1180,3593231,-49880663,-15994522,41852,18197,20.5723
-88520,73716,-65445,3574999,-49913993,-16051124,41853,18218,20.5723
39207,40472,-2455,3553717,-49712801,-16102264,41854,18238,20.5723
-54789,37912,157771,3511162,-49866989,-15909859,41855,18258,20.5723
-56759,139093,-33743,3436968,-49734746,-16068120,41856,18279,20.5723
-119104,-26097,30527,3387490,-49768918,-16257665,41857,18299,37.579
7846,-123279,-34151,3460555,-49827268,-16131516,41858,18320,37.579
-119613,-155731,-97110,3438378,-49531084,-16073445,41859,18340,37.579
39206,40640,-2399,3444087,-49508548,-16123090,41860,18361,37.579
-119115,104414,94412,3666529,-49874178,-16149701,41861,18381,37.579
7056,-56705,-97936,3455209,-49749379,-16199095,41862,18401,37.579
-246167,-91838,-482,3471388,-49851574,-16055305,41863,18422,37.579
-56478,-56947,-97511,3403885,-49904246,-16189251,41864,18442,37.579
40265,-91630,61444,3223285,-49735367,-16088485,41865,18463,37.579
7445,-24737,-34101,3466882,-49553931,-16254242,41866,18483,37.579
102876,8033,-2822,3501290,-49820865,-16222633,41867,18503,37.579
-24201,72807,29941,3313739,-49700805,-15927453,41868,18524,37.579
-86933,-124521,30376,3318462,-49627171,-16075662,41869,18544,37.579
-183945,-24143,-128582,3386393,-49657457,-16154442,41870,18565,37.579
-86697,136064,189952,3331513,-49663791,-15999376,41871,18585,37.579
-182766,-58748,-908,3503526,-49791452,-16047756,41872,18605,37.579
-151922,40795,-64962,3545251,-49663107,-15964732,41873,18626,37.579
-55427,-123961,-1753,3504063,-49809656,-15954698,41874,18646,53.8926
38550,74367,-66237,3365253,-49612466,-16158079,41875,18667,53.8926
103807,-156645,29105,3541281,-49821451,-15927419,41876,18687,53.8926
-88126,40597,-33469,3399900,-49587293,-16140652,41877,18707,53.8926
40398,-124478,61446,3350524,-49877753,-16068476,41878,18728,53.8926
-120154,40915,-65174,3332397,-49942253,-16218849,41879,18748,53.8926
7688,170592,93559,3411353,-49802765,-16025498,41880,18769,53.8926
-87609,104974,62281,3508484,-49717584,-16135584,41881,18789,53.8926
-88776,9067,-129221,3480777,-49516745,-16269724,41882,18809,53.8926
8096,6792,61650,3445984,-49929793,-15993927,41883,18830,53.8926
70980,-24496,-34525,3561962,-49841918,-15981728,41884,18850,53.8926
-214545,71286,63132,3318126,-49756781,-16083762,41885,18871,53.8926
-54526,37284,189746,3637795,-49887031,-16218274,41886,18891,53.8926
8243,-156924,-2233,3353422,-49776805,-16048557,41887,18911,53.8926
-24845,-24334,-97840,3387525,-49871009,-16033105,41888,18932,53.8926
104037,168841,220480,3268196,-50020699,-16060977,41889,18952,53.8926
-54399,37286,189630,3392478,-49830499,-16244008,41890,18973,53.8926
-117547,36606,221972,3392957,-49852935,-16186266,41891,18993,70.9221
-56109,105619,-1883,3533694,-49933504,-16186479,41892,19013,70.9221
7706,-90347,-66132,3370610,-50030161,-16191066,41893,19034,70.9221
-119242,6834,-1452,3165750,-49909141,-16163742,41894,19054,70.9221
-56352,-89710,-129544,3413064,-49634225,-16077191,41895,19075,70.9221
-182523,71409,62804,3274693,-49738862,-16119052,41896,19095,70.9221
-24462,8075,-65925,3408056,-49885375,-16130645,41897,19115,70.9221
-23659,-189012,-65914,3409443,-49846430,-16179836,41898,19136,70.9221
-87080,-26332,30255,3448455,-49681272,-16152288,41899,19156,70.9221
-23550,39166,61745,3324732,-49802119,-16152465,41900,19177,70.9221
-23161,71134,125579,3338807,-49768894,-16112025,41901,19197,70.9221
-118452,-59740,62387,3520834,-49771624,-16369939,41902,19217,70.9221
7846,-188452,-98045,3362110,-49830429,-16137532,41903,19238,70.9221
-119364,-90830,-65283,3463919,-49625779,-16206450,41904,19258,70.9221
-55707,7075,-1877,3488417,-49779898,-16241702,41905,19279,70.9221
41566,-93742,189001,3554370,-49630838,-16205907,41906,19299,70.9221
8351,6438,61535,3460732,-49699935,-16222064,41907,19319,70.9221
-23161,71134,125579,3581868,-49848584,-16206921,41908,19340,88.1566
-87098,169437,125998,3588520,-49754201,-16309651,41909,19360,88.1566
6897,171995,-34229,3509569,-49614304,-16018175,41910,19381,88.1566
133331,10436,-194659,3386358,-49780483,-16035943,41911,19401,88.1566
-88661,106816,-97425,3458995,-49964348,-15907472,41912,19421,88.1566
71363,7746,-2726,3295136,-49734518,-16102254,41913,19442,88.1566
-23539,-91159,-2084,3495069,-49816826,-16226514,41914,19462,88.1566
-149034,-159536,158416,3406072,-49737295,-16109833,41915,19483,88.1566
103521,39835,61010,3385050,-49719288,-16186328,41916,19503,88.1566
136603,-27498,188474,3397077,-49886229,-16319203,41917,19523,88.1566
-119108,38989,62497,3358872,-49760775,-16191140,41918,19544,88.1566
-86556,37791,158040,3440651,-49935290,-16390127,41919,19564,88.1566
-56363,105805,-1767,3471283,-49741220,-16314517,41920,19585,88.1566
-55968,72517,30153,3446778,-49703836,-16117134,41921,19605,88.1566
6929,-89282,-129852,3533889,-49756102,-16069603,41922,19625,88.1566
39213,-24784,-34313,3423279,-49780088,-16068631,41923,19646,88.1566
-151265,6899,-1124,3632671,-49783875,-16125327,41924,19666,88.1566
-152706,41944,-160716,3398317,-49832857,-16380633,41925,19687,105.017
-88387,40867,-65387,3493900,-49853469,-16125208,41926,19707,105.017
8370,-124328,29740,3548935,-49663508,-16117926,41927,19727,105.017
-87730,7141,-1549,3460476,-49841946,-16239325,41928,19748,105.017
7719,-155857,-66011,3406068,-49728968,-16090815,41929,19768,105.017
-86678,-59873,94208,3501465,-49822769,-16191070,41930,19789,105.017
-214399,-91885,-694,3476446,-49804695,-16232450,41931,19809,105.017
7573,7503,-2185,3331329,-49668156,-16088484,41932,19829,105.017
-119363,-25827,-1334,3652093,-49703461,-16134867,41933,19850,105.017
-24736,204029,29934,3415202,-49859282,-16335745,41934,19870,105.017
8619,5745,125486,3459889,-49792517,-16226638,41935,19891,105.017
8230,-26223,61652,3620874,-49818920,-16103576,41936,19911,105.017
7567,72758,29729,3504993,-49646124,-16303007,41937,19931,105.017
72557,-92557,125068,3467732,-49782381,-16307313,41938,19952,105.017
-151915,-24629,-96876,3249379,-49714833,-16222793,41939,19972,105.017
