P39   Test report Date\Time 14.05.2026 16:18:08
Integrated device s/n: K26H7151 firmware version: Kernel-220 Mar 20 2024 10:25:11
*Pressure sensor: absent
Measurement rate, Hz ___________________ 1000

        Heading          Pitch           Roll         Rate_X         Rate_Y         Rate_Z          Acc_X          Acc_Y          Acc_Z         Magn_X         Magn_Y         Magn_Z       Reserved    Temperature           Vinp      USW (L/H)       
           0.00           0.00           0.00         0.0000         0.0000         0.0000       0.000000       0.000000       0.000000            0.0            0.0            0.0              0            0.0           0.00     00000000 00000000
           0.00           0.00           0.00        -0.3000        -0.1000         0.0000       0.048000      -0.602000       0.798000            0.0            0.0            0.0              0            0.0           0.00     00000000 00000000
           0.00           0.00           0.00         0.0000         0.1000         0.0000       0.048000      -0.598000       0.806000            0.0            0.0            0.0              0            0.0           0.00     00000000 00000000
           0.00           0.00           0.00         0.4000         0.1000        -0.3000       0.046000      -0.594000       0.798000            0.0            0.0            0.0              0            0.0           0.00     00000000 00000000
           0.00           0.00           0.00         0.1000        -0.1000         0.3000       0.046000      -0.592000       0.802000            0.0            0.0            0.0              0            0.0           0.00     00000000 00000000
           0.00           0.00           0.00        -0.3000         0.1000        -0.2000       0.044000      -0.594000       0.804000            0.0            0.0            0.0              0            0.0           0.00     00000000 00000000
           0.00           0.00           0.00         0.0000         0.1000         0.0000       0.046000      -0.596000       0.800000            0.0            0.0            0.0              0            0.0           0.00     00000000 00000000
           0.00           0.00           0.00         0.0000         0.0000         0.0000       0.046000      -0.594000       0.802000            0.0            0.0            0.0              0           33.0           0.00     00000000 00000000
           0.00           0.00           0.00        -0.1000         0.0000         0.0000       0.046000      -0.594000       0.802000            0.0            0.0            0.0              0           33.0           0.00     00000000 00000000
           0.00           0.00           0.00         0.0000         0.0000         0.0000       0.046000      -0.596000       0.800000            0.0            0.0            0.0              0           33.0           0.00     00000000 00000000
           0.00           0.00           0.00         0.1000         0.0000         0.0000       0.046000      -0.596000       0.800000            0.0            0.0            0.0              0           33.0           0.00     00000000 00000000
           0.00           0.00           0.00         0.3000        -0.1000         0.0000       0.046000      -0.596000       0.802000            0.0            0.0            0.0              0           33.0           0.00     00000000 00000000
           0.00           0.00           0.00         0.2000        -0.1000         0.0000       0.046000      -0.596000       0.802000            0.0            0.0            0.0              0           33.0           0.00     00000000 00000000
           0.00           0.00           0.00         0.1000        -0.1000        -0.1000       0.046000      -0.596000       0.802000            0.0            0.0            0.0              0           33.0           0.00     00000000 00000000
           0.00           0.00           0.00         0.1000        -0.1000        -0.1000       0.044000      -0.594000       0.802000            0.0            0.0            0.0              0           33.0           0.00     00000000 00000000
           0.00           0.00           0.00         0.1000        -0.1000         0.0000       0.044000      -0.596000       0.802000            0.0            0.0            0.0              0           33.0           0.00     00000000 00000000
           0.00           0.00           0.00         0.0000         0.0000         0.0000       0.044000      -0.596000       0.802000            0.0            0.0            0.0              0           33.1           0.00     00000000 00000000
           0.00           0.00           0.00         0.0000         0.0000         0.1000       0.044000      -0.596000       0.802000            0.0            0.0            0.0              0           33.1           0.00     00000000 00000000
           0.00           0.00           0.00         0.0000         0.0000         0.1000       0.044000      -0.598000       0.802000            0.0            0.0            0.0              0           33.1           0.00     00000000 00000000
           0.00           0.00           0.00         0.0000         0.0000         0.0000       0.046000      -0.598000       0.802000            0.0            0.0            0.0              0           33.1           0.00     00000000 00000000
           0.00           0.00           0.00         0.0000         0.1000         0.0000       0.046000      -0.598000       0.802000            0.0            0.0            0.0              0           33.1           0.00     00000000 00000000
           0.00           0.00           0.00         0.0000         0.1000         0.0000       0.044000      -0.598000       0.802000            0.0            0.0            0.0              0           33.1           0.00     00000000 00000000
           0.00           0.00           0.00         0.1000         0.0000         0.1000       0.044000      -0.596000       0.800000            0.0            0.0            0.0              0           33.1           0.00     00000000 00000000
           0.00           0.00           0.00         0.1000         0.0000         0.2000       0.044000      -0.598000       0.802000            0.0            0.0            0.0              0           33.1           0.00     00000000 00000000
           0.00           0.00           0.00         0.0000         0.1000         0.2000       0.046000      -0.596000       0.802000            0.0            0.0            0.0              0           33.1           0.00     00000000 00000000
           0.00           0.00           0.00        -0.1000         0.1000         0.1000       0.046000      -0.596000       0.802000            0.0            0.0            0.0              0           33.1           0.00     00000000 00000000
           0.00           0.00           0.00        -0.1000         0.0000         0.0000       0.046000      -0.594000       0.802000            0.0            0.0            0.0              0           33.2           0.00     00000000 00000000
           0.00           0.00           0.00         0.0000         0.0000        -0.1000       0.046000      -0.594000       0.800000            0.0            0.0            0.0              0           33.2           0.00     00000000 00000000
           0.00           0.00           0.00         0.1000        -0.1000        -0.1000       0.046000      -0.594000       0.798000            0.0            0.0            0.0              0           33.2           0.00     00000000 00000000
           0.00           0.00           0.00         0.1000        -0.1000        -0.1000       0.046000      -0.596000       0.798000            0.0            0.0            0.0              0           33.2           0.00     00000000 00000000
           0.00           0.00           0.00         0.0000        -0.1000         0.0000       0.046000      -0.596000       0.800000            0.0            0.0            0.0              0           33.2           0.00     00000000 00000000
           0.00           0.00           0.00         0.0000        -0.1000         0.0000       0.046000      -0.596000       0.802000            0.0            0.0            0.0              0           33.2           0.00     00000000 00000000
           0.00           0.00           0.00        -0.1000        -0.1000         0.0000       0.048000      -0.596000       0.804000            0.0            0.0            0.0              0           33.2           0.00     00000000 00000000
           0.00           0.00           0.00         0.0000        -0.1000         0.1000       0.048000      -0.596000       0.804000            0.0            0.0            0.0              0           33.2           0.00     00000000 00000000
           0.00           0.00           0.00         0.1000        -0.1000         0.1000       0.046000      -0.596000       0.802000            0.0            0.0            0.0              0           33.0           0.00     00000000 00000000
           0.00           0.00           0.00         0.0000         0.0000         0.0000       0.044000      -0.596000       0.802000            0.0            0.0            0.0              0           33.0           0.00     00000000 00000000
           0.00           0.00           0.00        -0.1000         0.0000        -0.1000       0.044000      -0.596000       0.802000            0.0            0.0            0.0              0           33.0           0.00     00000000 00000000
           0.00           0.00           0.00         0.0000         0.0000        -0.1000       0.044000      -0.596000       0.802000            0.0            0.0            0.0              0           33.0           0.00     00000000 00000000
           0.00           0.00           0.00         0.2000         0.0000         0.0000       0.044000      -0.596000       0.802000            0.0            0.0            0.0              0           33.0           0.00     00000000 00000000
           0.00           0.00           0.00         0.2000         0.0000         0.1000       0.046000      -0.596000       0.802000            0.0            0.0            0.0              0           33.0           0.00     00000000 00000000
           0.00           0.00           0.00         0.1000         0.0000         0.1000       0.046000      -0.596000       0.802000            0.0            0.0            0.0              0           32.9           0.00     00000000 00000000
           0.00           0.00           0.00        -0.1000         0.0000         0.1000       0.046000      -0.598000       0.800000            0.0            0.0            0.0              0           32.9           0.00     00000000 00000000
           0.00           0.00           0.00        -0.1000         0.0000         0.1000       0.046000      -0.598000       0.800000            0.0            0.0            0.0              0           33.0           0.00     00000000 00000000
           0.00           0.00           0.00         0.0000        -0.1000         0.0000       0.044000      -0.598000       0.798000            0.0            0.0            0.0              0           33.0           0.00     00000000 00000000
           0.00           0.00           0.00         0.0000        -0.1000        -0.2000       0.044000      -0.598000       0.800000            0.0            0.0            0.0              0           33.0           0.00     00000000 00000000
           0.00           0.00           0.00         0.0000         0.0000        -0.2000       0.046000      -0.598000       0.800000            0.0            0.0            0.0              0           33.0           0.00     00000000 00000000
           0.00           0.00           0.00         0.0000         0.1000         0.0000       0.046000      -0.596000       0.800000            0.0            0.0            0.0              0           33.0           0.00     00000000 00000000
           0.00           0.00           0.00         0.1000         0.1000         0.1000       0.046000      -0.596000       0.800000            0.0            0.0            0.0              0           33.0           0.00     00000000 00000000
           0.00           0.00           0.00         0.1000         0.1000         0.1000       0.046000      -0.596000       0.800000            0.0            0.0            0.0              0           33.1           0.00     00000000 00000000
           0.00           0.00           0.00         0.0000         0.0000         0.0000       0.044000      -0.596000       0.800000            0.0            0.0            0.0              0           33.1           0.00     00000000 00000000
           0.00           0.00           0.00        -0.1000         0.0000         0.0000       0.044000      -0.596000       0.800000            0.0            0.0            0.0              0           33.1           0.00     00000000 00000000
           0.00           0.00           0.00         0.0000         0.0000         0.1000       0.044000      -0.596000       0.800000            0.0            0.0            0.0              0           33.1           0.00     00000000 00000000
           0.00           0.00           0.00         0.1000         0.0000         0.1000       0.046000      -0.596000       0.800000            0.0            0.0            0.0              0           33.1           0.00     00000000 00000000
           0.00           0.00           0.00         0.1000         0.0000         0.0000       0.046000      -0.594000       0.800000            0.0            0.0            0.0              0           33.1           0.00     00000000 00000000
           0.00           0.00           0.00         0.1000         0.0000         0.0000       0.046000      -0.594000       0.802000            0.0            0.0            0.0              0           33.1           0.00     00000000 00000000
           0.00           0.00           0.00         0.1000         0.0000         0.0000       0.046000      -0.596000       0.804000            0.0            0.0            0.0              0           33.1           0.00     00000000 00000000
           0.00           0.00           0.00         0.1000         0.0000         0.0000       0.046000      -0.596000       0.804000            0.0            0.0            0.0              0           33.1           0.00     00000000 00000000
